;Author;Title;Exist
1596;Richard Mörbitz;Hybrid Tree Automata and the Yield Theorem for Constituent Tree Automata.;right_only
1597;Oliver A. S. Lyon;Nondeterministic State Complexity of Site-Directed Deletion.;right_only
1598;Rogério Reis;Manipulation of Regular Expressions Using Derivatives: An Overview.;right_only
1599;Rogério Reis;Antimirov and Mosses\'s Rewrite System Revisited.;right_only
1600;Nevzat Ersoy;Real-Time, Constant-Space, Constant-Randomness Verifiers.;right_only
1601;Géraud Sénizergues;LALBLC A Program Testing the Equivalence of dpda\'s.;right_only
1602;Mohammad Sohel Rahman;On Palindromic Sequence Automata and Applications.;right_only
1603;Mohammad Sohel Rahman;The Constrained Longest Common Subsequence Problem for Degenerate Strings.;right_only
1604;João Pires 0002;Partial Derivatives of Regular Expressions over Alphabet-Invariant and User-Defined Labels.;right_only
1605;Markus Holzer;On 25 Years of CIAA Through the Lens of Data Science.;right_only
1606;Markus Holzer;Brzozowski\'s Minimization Algorithm - More Robust than Expected - (Extended Abstract).;right_only
1607;Claire Pagetti;Around Hopcroft\'s Algorithm.;right_only
1608;A. C. Cem Say;Energy Complexity of Regular Language Recognition.;right_only
1609;A. C. Cem Say;Real-Time, Constant-Space, Constant-Randomness Verifiers.;right_only
1610;Gaëlle Skapin;Term Validation of Distributed Hard Real-Time Applications.;right_only
1611;Sheng Yu;None;right_only
1612;Giusi Castiglione;Nondeterministic Moore Automata and Brzozowski\'s Algorithm.;right_only
1613;Giusi Castiglione;On Extremal Cases of Hopcroft\'s Algorithm.;right_only
1614;Robert Mercas;A Toolkit for Parikh Matrices.;right_only
1615;Florent Nicart;None;right_only
1616;Alexandre Ja. Dikovsky;Categorial Grammars with Iterated Types form a Strict Hierarchy of k-Valued Languages.;right_only
1617;Yo-Sub Han;How to Settle the ReDoS Problem: Back to the Classical Automata Theory.;right_only
1618;Meriç Üngör;Energy Complexity of Regular Language Recognition.;right_only
1619;Frank Drewes;Hybrid Tree Automata and the Yield Theorem for Constituent Tree Automata.;right_only
1620;Jonathan Lee 0005;Enumerating Regular Expressions and Their Languages.;right_only
1621;Yanbing Liu;Compressing Regular Expressions\' DFA Table by Matrix Decomposition.;right_only
1622;Öykü Yilmaz;Energy Complexity of Regular Language Recognition.;right_only
1623;Johanna Björklund;Z-Automata for Compact and Direct Representation of Unranked Tree Languages.;right_only
1624;Johanna Björklund;Z-Automata for Compact and Direct Representation of Unranked Tree Languages.;right_only
1625;Johanna Björklund;A Comparison of Two N-Best Extraction Methods for Weighted Tree Automata.;right_only
1626;Johanna Björklund;A Comparison of Two N-Best Extraction Methods for Weighted Tree Automata.;right_only
1627;Johanna Björklund;On the Regularity and Learnability of Ordered DAG Languages.;right_only
1628;Johanna Björklund;On the Regularity and Learnability of Ordered DAG Languages.;right_only
1629;Johanna Björklund;Deterministic Stack Transducers.;right_only
1630;Johanna Björklund;Deterministic Stack Transducers.;right_only
1631;Johanna Björklund;Backward and Forward Bisimulation Minimisation of Tree Automata.;right_only
1632;Johanna Björklund;Backward and Forward Bisimulation Minimisation of Tree Automata.;right_only
1633;Johanna Björklund;Bisimulation Minimization of Tree Automata.;right_only
1634;Johanna Björklund;Bisimulation Minimization of Tree Automata.;right_only
1635;Johanna Björklund;Wind in the Willows - Generating Music by Means of Tree Transducers.;right_only
1636;Johanna Björklund;Wind in the Willows - Generating Music by Means of Tree Transducers.;right_only
1637;M. Utkan Gezer;Real-Time, Constant-Space, Constant-Randomness Verifiers.;right_only
1638;Antonio Cano Gómez;Finite Automata and Unions of Regular Patterns with Bounded Constant Segments.;right_only
1639;Antonio Cano Gómez;Is Learning RFSAs Better Than Learning DFAs?.;right_only
1640;André Almeida (disambiguation);FAdo and GUItar.;right_only
1641;Jean-Marc Champarnaud;None;right_only
1642;Jean-Marc Champarnaud;Brzozowski\'s Derivatives Extended to Multiplicities.;right_only
1643;Jean-Marc Champarnaud;Implicit Structures to Implement NFA\'s from Regular Expressions.;right_only
1644;Jianlong Tan;Compressing Regular Expressions\' DFA Table by Matrix Decomposition.;right_only
1645;Michael Thomas 0004;Enhancements of Partitioning Techniques for Image Compression Using Weighted Finite Automata.;right_only
1646;Nelma Moreira;Manipulation of Regular Expressions Using Derivatives: An Overview.;right_only
1647;Nelma Moreira;Antimirov and Mosses\'s Rewrite System Revisited.;right_only
1648;Firat Kiyak;Energy Complexity of Regular Language Recognition.;right_only
1649;Daniel Reidenbach;A Toolkit for Parikh Matrices.;right_only
1650;Philippe Veber;None;right_only
1651;Viktor Olejar;The Cut Operation in Subclasses of Convex Languages (Extended Abstract).;right_only
1652;Alexander Okhotin;Homomorphisms on Graph-Walking Automata.;right_only
1653;Zeshan Peng;Time and Space Efficient Algorithms for Constrained Sequence Alignment.;right_only
1654;Juan Otero Pombo;Robust Spelling Correction.;right_only
1655;Juan Otero Pombo;Robust Spelling Correction.;right_only
1656;Juan Otero Pombo;Regional Finite-State Error Repair.;right_only
1657;Juan Otero Pombo;Regional Finite-State Error Repair.;right_only
1658;Joachim Klein;None;right_only
1659;Patrick Henry;LALBLC A Program Testing the Equivalence of dpda\'s.;right_only
1660;Kai Salomaa;Nondeterministic State Complexity of Site-Directed Deletion.;right_only
1661;Nir Piterman;Equivalence of Probabilistic \\mu -Calculus and p-Automata.;right_only
1662;Kenji Hashimoto;An Ambiguity Hierarchy of Weighted Context-Free Grammars.;right_only
1663;Jeffrey O. Shallit;State Complexity and Jacobsthal\'s Function.;right_only
1664;Sicheol Sung;How to Settle the ReDoS Problem: Back to the Classical Automata Theory.;right_only
1665;Diptarama;Enumeration of Cryptarithms Using Deterministic Finite Automata.;right_only
1666;Yusuke Inoue (disambiguation);An Ambiguity Hierarchy of Weighted Context-Free Grammars.;right_only
1667;Andreas Reuß;None;right_only
1668;Alfonso Rodríguez-Patón;Hopcroft\'s Minimization Technique: Queues or Stacks?.;right_only
1669;Bai Li (disambiguation);State Complexity of Overlap Assembly.;right_only
1670;Antonio Restivo;Nondeterministic Moore Automata and Brzozowski\'s Algorithm.;right_only
1671;Antonio Restivo;On Extremal Cases of Hopcroft\'s Algorithm.;right_only
1672;Li Guo;Compressing Regular Expressions\' DFA Table by Matrix Decomposition.;right_only
1673;Heiko Vogler;Hybrid Tree Automata and the Yield Theorem for Constituent Tree Automata.;right_only
1674;Jakub Ruszil;Some Results Concerning Careful Synchronization of Partial Automata and Subset Synchronization of DFA\'s.;right_only
1675;Jason Eisner;None;right_only
1676;Matthias Wendlandt;On the Power of Pushing or Stationary Moves for Input-Driven Pushdown Automata.;right_only
1677;Helmut Seidl;None;right_only
1678;Loek Cleophas;Forest FIRE: A Taxonomy-based Toolkit of Tree Automata and Regular Tree Algorithms.;right_only
1679;Loek Cleophas;FIRE Station: An Environment for Manipulating Finite Automata and Regular Expression Views.;right_only
1680;Loek Cleophas;The Effect of Rewriting Regular Expressions on Their Accepting Automata.;right_only
1681;Jorge Graña Gil;Regional Finite-State Error Repair.;right_only
1682;Jorge Graña Gil;Regional Finite-State Error Repair.;right_only
1683;Jorge Graña Gil;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;right_only
1684;Jorge Graña Gil;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;right_only
1685;Jorge Graña Gil;Compilation Methods of Minimal Acyclic Finite-State Automata for Large Dictionaries.;right_only
1686;Jorge Graña Gil;Compilation Methods of Minimal Acyclic Finite-State Automata for Large Dictionaries.;right_only
1687;Stefan Hoffmann;Constrained Synchronization for Monotonic and Solvable Automata and Automata with Simple Idempotents.;right_only
1688;Michal Hospodár;The Cut Operation in Subclasses of Convex Languages (Extended Abstract).;right_only
1689;Martin Lange;A Similarity Measure for Formal Languages Based on Convergent Geometric Series.;right_only
1690;Hing-Fung Ting;Time and Space Efficient Algorithms for Constrained Sequence Alignment.;right_only
1691;Olga Martynova;Homomorphisms on Graph-Walking Automata.;right_only
1692;Mihaela Paun;Hopcroft\'s Minimization Technique: Queues or Stacks?.;right_only
1693;Maurice Herwig;A Similarity Measure for Formal Languages Based on Convergent Geometric Series.;right_only
1694;Florent Jacquemard;Symbolic Weighted Language Models, Quantitative Parsing and Automated Music Transcription.;right_only
1695;Hyunjoon Cheon;How to Settle the ReDoS Problem: Back to the Classical Automata Theory.;right_only
1696;Maxime Crochemore;On the Implementation of Compact DAWG\'s.;right_only
1697;Hiroyuki Seki;An Ambiguity Hierarchy of Weighted Context-Free Grammars.;right_only
1698;Andrei Paun;Hopcroft\'s Minimization Technique: Queues or Stacks?.;right_only
1699;Andrei Paun;None;right_only
1700;Christian Rauch;On 25 Years of CIAA Through the Lens of Data Science.;right_only
1701;Nicolae Santean;None;right_only
1702;Jan Holub;On the Implementation of Compact DAWG\'s.;right_only
1703;Marinella Sciortino;Nondeterministic Moore Automata and Brzozowski\'s Algorithm.;right_only
1704;Marinella Sciortino;On Extremal Cases of Hopcroft\'s Algorithm.;right_only
1705;A. S. M. Shohidull Islam;On Palindromic Sequence Automata and Applications.;right_only
1706;J. Andrés Montoya;Looking for Pairs that Hard to Separate: A Quantum Approach.;right_only
1707;Franck Guingne;None;right_only
1708;María Jesús Aranzabe;Using Finite State Technology in Natural Language Processing of Basque.;right_only
1709;Jean Berstel;On the Complexity of Hopcroft\'s State Minimization Algorithm.;right_only
1710;Florian Bruse;A Similarity Measure for Formal Languages Based on Convergent Geometric Series.;right_only
1711;Marco Almeida;Antimirov and Mosses\'s Rewrite System Revisited.;right_only
1712;Kim G. Larsen;Timed and Untimed Energy Games.;right_only
1713;Sebastian Jakobi;Brzozowski\'s Minimization Algorithm - More Robust than Expected - (Extended Abstract).;right_only
1714;Miri Kopel Ben-Nissan;Accelerating Boyer Moore Searches on Binary Texts.;right_only
1715;Raphael \'kena\' Poss;Introducing VAUCANSON.;right_only
1716;Hermann Gruber;On 25 Years of CIAA Through the Lens of Data Science.;right_only
