Name;Title;Co-Authors;Pagintation;Published in;LNCS-link;Abstract
Helmut Prodinger;Words, Permutations, and Representations of Numbers.;;[<span itemprop="pagination">81-99</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_7;In this survey paper we consider words, where the letters are interpreted to be numbers or digits. In the first part, natural numbers are weighted with probabilities (from the geometric distribution). Several properties and parameters of sets of such words are analyzed probabilistically. the case of permutations is a limiting case. In the second part, the representation of Gaussian integers to the base -2 + i is considered, as well as redundant representations to the base q, where the digits can be arbitrary integers.
Alexander A. Razborov;Proof Complexity of Pigeonhole Principles.;;[<span itemprop="pagination">100-116</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_8;The pigeonhole principle asserts that there is no injective mapping from m pigeons to n holes as long as m &gt. n. It is amazingly simple, expresses one of the most basic primitives in mathematics and Theoretical Computer Science (counting) and, for these reasons, is probably the most extensively studied combinatorial principle. In this survey we try to summarize what is known about its proof complexity, and what we would still like to prove.We also mention some applications of the pigeonhole principle to the study of efficient provability of major open problems in computational complexity, as well as some of its generalizations in the form of general matching principles.
Antonio Restivo;Words and Patterns.;Sergio Salemi;[<span itemprop="pagination">117-129</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_9;In this paper some new ideas, problems and results on patterns are proposed. In particular, motivated by questions concerning avoidability, we first study the set of binary patterns that can occur in one infinite binary word, comparing it with the set of factors of the word. This suggests a classification of infinite words in terms of the “difference” between the set of its patterns and the set of its factors. The fact that each factor in an infinite word can give rise to several distinct patterns leads to study the set of patterns of a single finite word. This set, endowed with a natural order relation, defines a poset: we investigate the relationships between the structure of such a poset and the combinatorial properties of the word. Finally we show that the set of patterns of the words in a regular language is a regular language too.
Sergio Salemi;Words and Patterns.;Antonio Restivo;[<span itemprop="pagination">117-129</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_9;In this paper some new ideas, problems and results on patterns are proposed. In particular, motivated by questions concerning avoidability, we first study the set of binary patterns that can occur in one infinite binary word, comparing it with the set of factors of the word. This suggests a classification of infinite words in terms of the “difference” between the set of its patterns and the set of its factors. The fact that each factor in an infinite word can give rise to several distinct patterns leads to study the set of patterns of a single finite word. This set, endowed with a natural order relation, defines a poset: we investigate the relationships between the structure of such a poset and the combinatorial properties of the word. Finally we show that the set of patterns of the words in a regular language is a regular language too.
Wolfgang Thomas;A Short Introduction to Infinite Automata.;;[<span itemprop="pagination">130-144</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_10;Infinite automata are of interest not only in the verification of systems with infinite state spaces, but also as a natural (and so far underdeveloped) framework for the study of formal languages. In this survey, we discuss some basic types of infinite automata, which are based on the so-called prefix-recognizable, synchronized rational, and rational transition graphs, respectively. We present characterizations of these transition graphs (due to Muller/Schupp and to Caucal and students), mention results on their power to recognize languages, and discuss the status of central algorithmic problems (like reachability of given states, or decidability of the first-order theory).
Thierry Cachat;The Power of One-Letter Rational Languages.;;[<span itemprop="pagination">145-154</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_11;For any language L, let pow(L) = uj ∣ j ≥ 0, u ε L be the set of powers of elements of L. Given a rational language L (over a finite alphabet), we study the question, posed in [3], whether pow(L) is rational or not. While leaving open the problem in general, we provide an algorithmic solution for the case of one-letter alphabets. This case is still non trivial. our solution is based on Dirichlet’s result that for two relatively prime numbers, their associated arithmetic progression contains infinitely many primes.
Ludwig Staiger;The Entropy of Lukasiewicz-Languages.;;[<span itemprop="pagination">155-165</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_12;The paper presents an elementary approach for the calculation of the entropy of a class of context-free languages. This approach is based on the consideration of roots of a real polynomial and is also suitable for calculating the Bernoulli measure.
Dimitry S. Ananichev;Collapsing Words vs. Synchronizing Words.;Mikhail V. Volkov;[<span itemprop="pagination">166-174</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_13;We investigate the relationships between two types of words that have recently arisen in studying “black-box” versions of the famous Černý problem on synchronizing automata. Considering the languages formed by words of each of these types, we verify that one of them is regular while the other is not, thus showing that the two notions in question are different. We also discuss certain open problems concerning words of minimum length in these languages.
Mikhail V. Volkov;Collapsing Words vs. Synchronizing Words.;Dimitry S. Ananichev;[<span itemprop="pagination">166-174</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_13;We investigate the relationships between two types of words that have recently arisen in studying “black-box” versions of the famous Černý problem on synchronizing automata. Considering the languages formed by words of each of these types, we verify that one of them is regular while the other is not, thus showing that the two notions in question are different. We also discuss certain open problems concerning words of minimum length in these languages.
Karel Culík II;A Note on Synchronized Automata and Road Coloring Problem.;Juhani Karhumäki, Jarkko Kari;[<span itemprop="pagination">175-185</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_14;We consider a problem of labeling a directed multigraph so that it becomes a synchronized finite automaton, as an ultimate goal to solve the famous Road Coloring Conjecture, cf. [1],[2].We introduce a relabeling method which can be used for a large class of automata to improve their “degree of synchronization”. This allows, for example, to formulate the conjecture in several equivalent ways.
Juhani Karhumäki;A Note on Synchronized Automata and Road Coloring Problem.;Karel Culík II, Jarkko Kari;[<span itemprop="pagination">175-185</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_14;We consider a problem of labeling a directed multigraph so that it becomes a synchronized finite automaton, as an ultimate goal to solve the famous Road Coloring Conjecture, cf. [1],[2].We introduce a relabeling method which can be used for a large class of automata to improve their “degree of synchronization”. This allows, for example, to formulate the conjecture in several equivalent ways.
Jarkko Kari;A Note on Synchronized Automata and Road Coloring Problem.;Karel Culík II, Juhani Karhumäki;[<span itemprop="pagination">175-185</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_14;We consider a problem of labeling a directed multigraph so that it becomes a synchronized finite automaton, as an ultimate goal to solve the famous Road Coloring Conjecture, cf. [1],[2].We introduce a relabeling method which can be used for a large class of automata to improve their “degree of synchronization”. This allows, for example, to formulate the conjecture in several equivalent ways.
Cezar Câmpeanu;Shuffle Quotient and Decompositions.;Kai Salomaa, Sándor Vágvölgyi;[<span itemprop="pagination">186-196</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_15;We introduce a right congruence relation that is the analogy of the Nerode congruence when catenation is replaced by shuffle. Using this relation we show that for certain subclasses of regular languages the shuffle decomposition problem is decidable. We show that shuffle decomposition is undecidable for context-free languages.
Kai Salomaa;Shuffle Quotient and Decompositions.;Cezar Câmpeanu, Sándor Vágvölgyi;[<span itemprop="pagination">186-196</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_15;We introduce a right congruence relation that is the analogy of the Nerode congruence when catenation is replaced by shuffle. Using this relation we show that for certain subclasses of regular languages the shuffle decomposition problem is decidable. We show that shuffle decomposition is undecidable for context-free languages.
Sándor Vágvölgyi;Shuffle Quotient and Decompositions.;Cezar Câmpeanu, Kai Salomaa;[<span itemprop="pagination">186-196</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_15;We introduce a right congruence relation that is the analogy of the Nerode congruence when catenation is replaced by shuffle. Using this relation we show that for certain subclasses of regular languages the shuffle decomposition problem is decidable. We show that shuffle decomposition is undecidable for context-free languages.
Gundula Niemann;The Growing Context-Sensitive Languages Are the Acyclic Context-Sensitive Languages.;Jens R. Woinowski;[<span itemprop="pagination">197-205</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_16;The growing context-sensitive languages have been defined by Dahlhaus and Warmuth using strictly monotone grammars, and they have been characterized by Buntrock and Lory’s by weight-increasing grammars. The acyclic context-sensitive languages are defined by context-sensitive grammars the contextfree kernels of which contain no cycles of chain rules, which is equivalent to being context-sensitive and weight-increasing at the same time. p] In this paper we show that these two language classes coincide, that is, for each weight-increasing grammar there exists an equivalent one that is weight-increasing and context-sensitive at the same time.
Jens R. Woinowski;The Growing Context-Sensitive Languages Are the Acyclic Context-Sensitive Languages.;Gundula Niemann;[<span itemprop="pagination">197-205</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_16;The growing context-sensitive languages have been defined by Dahlhaus and Warmuth using strictly monotone grammars, and they have been characterized by Buntrock and Lory’s by weight-increasing grammars. The acyclic context-sensitive languages are defined by context-sensitive grammars the contextfree kernels of which contain no cycles of chain rules, which is equivalent to being context-sensitive and weight-increasing at the same time. p] In this paper we show that these two language classes coincide, that is, for each weight-increasing grammar there exists an equivalent one that is weight-increasing and context-sensitive at the same time.
Dietrich Kuske;Recognizable Sets of N-Free Pomsets Are Monadically Axiomatizable.;;[<span itemprop="pagination">206-216</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_17;It is shown that any recognizable set of finite N-free pomsets is axiomatizable in counting monadic second order logic. Differently from similar results by Courcelle, Kabanets, and Lapoire, we do not use MSO-transductions (i.e., one-dimensional interpretations), but two-dimensional interpretations of a generating tree in an N-free pomset. Then we have to deal with the new problem that set-quantifications over the generating tree are translated into quantifications over binary relations in the N-free pomset. This is solved by an adaptation of a result by Potthoff &amp. Thomas on monadic antichain logic.
Zoltán Ésik;Automata on Series-Parallel Biposets.;Zoltán L. Németh;[<span itemprop="pagination">217-227</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_18;We provide the basics of a 2-dimensional theory of automata on seriesparallel biposets. We define recognizable, regular and rational sets of seriesparallel biposets and study their relationship. Moreover, we relate these classes to languages of series-parallel biposets definable in monadic second-order logic.
Zoltán L. Németh;Automata on Series-Parallel Biposets.;Zoltán Ésik;[<span itemprop="pagination">217-227</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_18;We provide the basics of a 2-dimensional theory of automata on seriesparallel biposets. We define recognizable, regular and rational sets of seriesparallel biposets and study their relationship. Moreover, we relate these classes to languages of series-parallel biposets definable in monadic second-order logic.
Joost Engelfriet;Hierarchies of String Languages Generated by Deterministic Tree Transducers.;Sebastian Maneth;[<span itemprop="pagination">228-238</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_19;The composition of total deterministic macro tree transducers gives rise to a proper hierarchy with respect to the generated string languages (these are the languages obtained by taking the yields of the output trees). The same holds for attributed tree transducers, for controlled EDT0L systems, and for YIELD mappings (which shows properness of the IO-hierarchy).
Sebastian Maneth;Hierarchies of String Languages Generated by Deterministic Tree Transducers.;Joost Engelfriet;[<span itemprop="pagination">228-238</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_19;The composition of total deterministic macro tree transducers gives rise to a proper hierarchy with respect to the generated string languages (these are the languages obtained by taking the yields of the output trees). The same holds for attributed tree transducers, for controlled EDT0L systems, and for YIELD mappings (which shows properness of the IO-hierarchy).
Thomas Schwentick;Partially-Ordered Two-Way Automata: A New Characterization of DA.;Denis Thérien, Heribert Vollmer;[<span itemprop="pagination">239-250</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_20;In this paper,we consider finite automata with the restriction that whenever the automaton leaves a state it never returns to it. Equivalently we may assume that the states set is partially ordered and the automaton may never move “backwards” to a smaller state. p] We show that different types of partially-ordered automata characterize different language classes between level 1 and 3/2 of the Straubing-Thérien-Hierarchy. p] In particular, we prove that partially-ordered 2-way DFAs recognize exactly the class UL of unambiguous languages introduced by Schützenberger in 1976. As shown by Schützenberger, this class coincides with the class of those languages whose syntactic monoid is in the variety DA, a specific subclass of all “groupfree” (or “aperiodic”) semigroups.DA has turned out to possess a lot of appealing characterizations. Our result adds one more to these: partially-ordered two-way automata recognize exactly those languages whose syntactic monoid is in DA.
Denis Thérien;Partially-Ordered Two-Way Automata: A New Characterization of DA.;Thomas Schwentick, Heribert Vollmer;[<span itemprop="pagination">239-250</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_20;In this paper,we consider finite automata with the restriction that whenever the automaton leaves a state it never returns to it. Equivalently we may assume that the states set is partially ordered and the automaton may never move “backwards” to a smaller state. p] We show that different types of partially-ordered automata characterize different language classes between level 1 and 3/2 of the Straubing-Thérien-Hierarchy. p] In particular, we prove that partially-ordered 2-way DFAs recognize exactly the class UL of unambiguous languages introduced by Schützenberger in 1976. As shown by Schützenberger, this class coincides with the class of those languages whose syntactic monoid is in the variety DA, a specific subclass of all “groupfree” (or “aperiodic”) semigroups.DA has turned out to possess a lot of appealing characterizations. Our result adds one more to these: partially-ordered two-way automata recognize exactly those languages whose syntactic monoid is in DA.
Heribert Vollmer;Partially-Ordered Two-Way Automata: A New Characterization of DA.;Thomas Schwentick, Denis Thérien;[<span itemprop="pagination">239-250</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_20;In this paper,we consider finite automata with the restriction that whenever the automaton leaves a state it never returns to it. Equivalently we may assume that the states set is partially ordered and the automaton may never move “backwards” to a smaller state. p] We show that different types of partially-ordered automata characterize different language classes between level 1 and 3/2 of the Straubing-Thérien-Hierarchy. p] In particular, we prove that partially-ordered 2-way DFAs recognize exactly the class UL of unambiguous languages introduced by Schützenberger in 1976. As shown by Schützenberger, this class coincides with the class of those languages whose syntactic monoid is in the variety DA, a specific subclass of all “groupfree” (or “aperiodic”) semigroups.DA has turned out to possess a lot of appealing characterizations. Our result adds one more to these: partially-ordered two-way automata recognize exactly those languages whose syntactic monoid is in DA.
Christian Glaßer;Level 5/2 of the Straubing-Thérien Hierarchy for Two-Letter Alphabets.;Heinz Schmitz;[<span itemprop="pagination">251-261</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_21;We prove an effective characterization of level 5/2 of the Straubing-Thérien hierarchy for the restricted case of languages defined over a two-letter alphabet.
Heinz Schmitz;Level 5/2 of the Straubing-Thérien Hierarchy for Two-Letter Alphabets.;Christian Glaßer;[<span itemprop="pagination">251-261</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_21;We prove an effective characterization of level 5/2 of the Straubing-Thérien hierarchy for the restricted case of languages defined over a two-letter alphabet.
Juraj Hromkovic;On the Power of Randomized Pushdown Automata.;Georg Schnitger;[<span itemprop="pagination">262-271</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_22;Although randomization is now a standard tool for the design of efficient algorithms or for building simpler systems, we are far from fully understanding the power of randomized computing. Hence it is advisable to study randomization for restricted models of computation.We followthis approach by investigating the power of randomization for pushdown automata.
Georg Schnitger;On the Power of Randomized Pushdown Automata.;Juraj Hromkovic;[<span itemprop="pagination">262-271</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_22;Although randomization is now a standard tool for the design of efficient algorithms or for building simpler systems, we are far from fully understanding the power of randomized computing. Hence it is advisable to study randomization for restricted models of computation.We followthis approach by investigating the power of randomization for pushdown automata.
Gerhard Lischke;The Root of a Language and Its Complexity.;;[<span itemprop="pagination">272-280</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_23;The root of a language L is the set of all primitive words p such that pn belongs to L for some n ≥ 1. We show that the gap between the time complexity and space complexity, respectively, of a language and that of its root can be arbitrarily great. From this we conclude that there exist regular languages the roots of which are not even context-sensitive. Also we show that the quadratic time complexity for deciding the set of all primitive words by an 1-tape Turing machine is optimal.
Henning Fernau;Valuated and Valence Grammars: An Algebraic View.;Ralf Stiebe;[<span itemprop="pagination">281-292</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_24;Valence grammars were introduced by Gh. Păun in [8] as a grammatical model of chemical processes. Here, we focus on discussing a simpler variant which we call valuated grammars.We give some algebraic characterizations of the corresponding language classes. Similarly,we obtain an algebraic characterization of the linear languages. We also give some Nivat-like representations of valence transductions.
Ralf Stiebe;Valuated and Valence Grammars: An Algebraic View.;Henning Fernau;[<span itemprop="pagination">281-292</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_24;Valence grammars were introduced by Gh. Păun in [8] as a grammatical model of chemical processes. Here, we focus on discussing a simpler variant which we call valuated grammars.We give some algebraic characterizations of the corresponding language classes. Similarly,we obtain an algebraic characterization of the linear languages. We also give some Nivat-like representations of valence transductions.
Hendrik Jan Hoogeboom;Context-Free Valence Grammars - Revisited.;;[<span itemprop="pagination">293-303</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_25;Context-free valence languages (over ℤк) are shown to be codings of the intersection of a context-free language and a blind к-counter language. This afl-style characterization allows one to infer some of the properties of the family of valence languages, in particular the ⋋-free normal form proved by Fernau and Stiebe.
Vesa Halava;An Undecidability Result Concerning Periodic Morphisms.;Tero Harju;[<span itemprop="pagination">304-310</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_26;The following universe problem for the equality sets is shown to be undecidable: given a weak coding h, and two morphisms g1, g2, where g2 is periodic, determine whether or not h(EG(g1, g2)) = ∑+, where EG(g1, g2) consists of the solutions ω to the equation g1(ω) = #g2(ω) for a fixed letter #. The problem is trivially decidable, if instead of EG(g1, g2) the equality set E(g1, g2) (without a marker symbol #) is chosen.
Tero Harju;An Undecidability Result Concerning Periodic Morphisms.;Vesa Halava;[<span itemprop="pagination">304-310</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_26;The following universe problem for the equality sets is shown to be undecidable: given a weak coding h, and two morphisms g1, g2, where g2 is periodic, determine whether or not h(EG(g1, g2)) = ∑+, where EG(g1, g2) consists of the solutions ω to the equation g1(ω) = #g2(ω) for a fixed letter #. The problem is trivially decidable, if instead of EG(g1, g2) the equality set E(g1, g2) (without a marker symbol #) is chosen.
Manfred Kudlek;A Universal Turing Machine with 3 States and 9 Symbols.;Yurii Rogozhin;[<span itemprop="pagination">311-318</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_27;With an UTM(3,9) we present a new small universal Turing machine with 3 states and 9 symbols, improving a former result of an UTM(3,10).
Yurii Rogozhin;A Universal Turing Machine with 3 States and 9 Symbols.;Manfred Kudlek;[<span itemprop="pagination">311-318</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_27;With an UTM(3,9) we present a new small universal Turing machine with 3 states and 9 symbols, improving a former result of an UTM(3,10).
Michael Domaratzki;Minimal Covers of Formal Languages.;Jeffrey O. Shallit, Sheng Yu;[<span itemprop="pagination">319-329</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_28;Let L,L′ be languages. If L ⫅ L′, we say that L′ covers L. Let C,D be two classes of languages. If L′ ∈ C, we say that L′ is a minimal C-cover with respect to D if whenever L ⫅ L″ ⫅ L′ and L″∈ C, we have L′ - L″ ∈ D. In this paper we discuss minimal C-covers with respect to finite languages, when C is the class of regular languages.
Jeffrey O. Shallit;Minimal Covers of Formal Languages.;Michael Domaratzki, Sheng Yu;[<span itemprop="pagination">319-329</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_28;Let L,L′ be languages. If L ⫅ L′, we say that L′ covers L. Let C,D be two classes of languages. If L′ ∈ C, we say that L′ is a minimal C-cover with respect to D if whenever L ⫅ L″ ⫅ L′ and L″∈ C, we have L′ - L″ ∈ D. In this paper we discuss minimal C-covers with respect to finite languages, when C is the class of regular languages.
Sheng Yu;Minimal Covers of Formal Languages.;Michael Domaratzki, Jeffrey O. Shallit;[<span itemprop="pagination">319-329</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_28;Let L,L′ be languages. If L ⫅ L′, we say that L′ covers L. Let C,D be two classes of languages. If L′ ∈ C, we say that L′ is a minimal C-cover with respect to D if whenever L ⫅ L″ ⫅ L′ and L″∈ C, we have L′ - L″ ∈ D. In this paper we discuss minimal C-covers with respect to finite languages, when C is the class of regular languages.
Gundula Niemann;Some Regular Languages That Are Church-Rosser Congruential.;Johannes Waldmann;[<span itemprop="pagination">330-339</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_29;In 1988 McNaughton et al introduced the class CRCL of Church-Rosser congruential languages as a way to define formal languages by confluent length-reducing string-rewriting systems. As other congruential language classes CRCL is quite limited, although it contains some languages that are not contextfree. In 2000 Niemann has shown that at least each regular language with polynomial density is Church-Rosser congruential. It is still an open question whether the class of regular languages is contained in CRCL. Here we give some families of regular languages of exponential density that are Church-Rosser congruential. More precisely, we show that some shuffle languages, as well as Level 1 of the Straubing-Thérien hierarchy, are in CRCL, using a sufficient condition under which a regular language is Church-Rosser congruential. Last, we give a family of group languages that are Church-Rosser congruential, but do not fulfill this condition.
