Name;Title;Co-Authors;Pagintation;Published;Venue
Ahmed Amarni;Factor and Subsequence Kernels and Signatures of Rational Languages.;Sylvain Lombardy;[<span itemprop="pagination">313-320</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Sylvain Lombardy;Factor and Subsequence Kernels and Signatures of Rational Languages.;Ahmed Amarni;[<span itemprop="pagination">313-320</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Pascal Caron;Multi-Tilde-Bar Derivatives.;Jean-Marc Champarnaud, Ludovic Mignot;[<span itemprop="pagination">321-328</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Jean-Marc Champarnaud;Multi-Tilde-Bar Derivatives.;Pascal Caron, Ludovic Mignot;[<span itemprop="pagination">321-328</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Ludovic Mignot;Multi-Tilde-Bar Derivatives.;Pascal Caron, Jean-Marc Champarnaud;[<span itemprop="pagination">321-328</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Pierre-Cyrille Héam;On Positive TAGED with a Bounded Number of Constraints.;Vincent Hugot, Olga Kouchnarenko;[<span itemprop="pagination">329-336</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Vincent Hugot;On Positive TAGED with a Bounded Number of Constraints.;Pierre-Cyrille Héam, Olga Kouchnarenko;[<span itemprop="pagination">329-336</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Olga Kouchnarenko;On Positive TAGED with a Bounded Number of Constraints.;Pierre-Cyrille Héam, Vincent Hugot;[<span itemprop="pagination">329-336</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Tingwen Liu;SDFA: Series DFA for Memory-Efficient Regular Expression Matching.;Yong Sun, Li Guo, Binxing Fang;[<span itemprop="pagination">337-344</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Yong Sun;SDFA: Series DFA for Memory-Efficient Regular Expression Matching.;Tingwen Liu, Li Guo, Binxing Fang;[<span itemprop="pagination">337-344</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Li Guo;SDFA: Series DFA for Memory-Efficient Regular Expression Matching.;Tingwen Liu, Yong Sun, Binxing Fang;[<span itemprop="pagination">337-344</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Binxing Fang;SDFA: Series DFA for Memory-Efficient Regular Expression Matching.;Tingwen Liu, Yong Sun, Li Guo;[<span itemprop="pagination">337-344</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Sylvain Lombardy;The Removal of Weighted ε-Transitions.;Jacques Sakarovitch;[<span itemprop="pagination">345-352</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Jacques Sakarovitch;The Removal of Weighted ε-Transitions.;Sylvain Lombardy;[<span itemprop="pagination">345-352</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Eleni Mandrali;Weighted LTL with Discounting.;;[<span itemprop="pagination">353-360</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Daniel Reidenbach;Automata with Modulo Counters and Nondeterministic Counter Bounds.;Markus L. Schmid;[<span itemprop="pagination">361-368</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Markus L. Schmid;Automata with Modulo Counters and Nondeterministic Counter Bounds.;Daniel Reidenbach;[<span itemprop="pagination">361-368</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Oscar H. Ibarra;Automata-Theoretic Techniques for Analyzing Infinite-State Systems.;;[<span itemprop="pagination">1</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Jonathan Lee;Enumerating Regular Expressions and Their Languages.;Jeffrey O. Shallit;[<span itemprop="pagination">2-22</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Jeffrey O. Shallit;Enumerating Regular Expressions and Their Languages.;Jonathan Lee;[<span itemprop="pagination">2-22</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Cyril Allauzen;A General Weighted Grammar Library.;Mehryar Mohri, Brian Roark;[<span itemprop="pagination">23-34</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Mehryar Mohri;A General Weighted Grammar Library.;Cyril Allauzen, Brian Roark;[<span itemprop="pagination">23-34</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Brian Roark;A General Weighted Grammar Library.;Cyril Allauzen, Mehryar Mohri;[<span itemprop="pagination">23-34</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Jean Berstel;On the Complexity of Hopcroft's State Minimization Algorithm.;Olivier Carton;[<span itemprop="pagination">35-44</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Olivier Carton;On the Complexity of Hopcroft's State Minimization Algorithm.;Jean Berstel;[<span itemprop="pagination">35-44</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Aneta Binder;Implementation of Catalytic P Systems.;Rudolf Freund, Georg Lojka, Marion Oswald;[<span itemprop="pagination">45-56</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Rudolf Freund;Implementation of Catalytic P Systems.;Aneta Binder, Georg Lojka, Marion Oswald;[<span itemprop="pagination">45-56</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Georg Lojka;Implementation of Catalytic P Systems.;Aneta Binder, Rudolf Freund, Marion Oswald;[<span itemprop="pagination">45-56</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Marion Oswald;Implementation of Catalytic P Systems.;Aneta Binder, Rudolf Freund, Georg Lojka;[<span itemprop="pagination">45-56</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Björn Borchardt;Code Selection by Tree Series Transducers.;;[<span itemprop="pagination">57-67</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Henning Bordihn;Some Non-semi-decidability Problems for Linear and Deterministic Context-Free Languages.;Markus Holzer, Martin Kutrib;[<span itemprop="pagination">68-79</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Markus Holzer;Some Non-semi-decidability Problems for Linear and Deterministic Context-Free Languages.;Henning Bordihn, Martin Kutrib;[<span itemprop="pagination">68-79</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Martin Kutrib;Some Non-semi-decidability Problems for Linear and Deterministic Context-Free Languages.;Henning Bordihn, Markus Holzer;[<span itemprop="pagination">68-79</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Jean-Marc Champarnaud;Brute Force Determinization of NFAs by Means of State Covers.;Fabien Coulon, Thomas Paranthoën;[<span itemprop="pagination">80-89</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Fabien Coulon;Brute Force Determinization of NFAs by Means of State Covers.;Jean-Marc Champarnaud, Thomas Paranthoën;[<span itemprop="pagination">80-89</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Thomas Paranthoën;Brute Force Determinization of NFAs by Means of State Covers.;Jean-Marc Champarnaud, Fabien Coulon;[<span itemprop="pagination">80-89</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Jean-Marc Champarnaud;Computing the Follow Automaton of an Expression.;Florent Nicart, Djelloul Ziadi;[<span itemprop="pagination">90-101</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Florent Nicart;Computing the Follow Automaton of an Expression.;Jean-Marc Champarnaud, Djelloul Ziadi;[<span itemprop="pagination">90-101</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Djelloul Ziadi;Computing the Follow Automaton of an Expression.;Jean-Marc Champarnaud, Florent Nicart;[<span itemprop="pagination">90-101</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Mark Daley;Viral Gene Compression: Complexity and Verification.;Ian McQuillan;[<span itemprop="pagination">102-112</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Ian McQuillan;Viral Gene Compression: Complexity and Verification.;Mark Daley;[<span itemprop="pagination">102-112</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Wojciech Debski;Concatenation State Machines and Simple Functions.;Wojciech Fraczak;[<span itemprop="pagination">113-124</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Wojciech Fraczak;Concatenation State Machines and Simple Functions.;Wojciech Debski;[<span itemprop="pagination">113-124</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Michiel Frishert;FIRE Station: An Environment for Manipulating Finite Automata and Regular Expression Views.;Loek G. Cleophas, Bruce W. Watson;[<span itemprop="pagination">125-133</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Loek G. Cleophas;FIRE Station: An Environment for Manipulating Finite Automata and Regular Expression Views.;Michiel Frishert, Bruce W. Watson;[<span itemprop="pagination">125-133</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Bruce W. Watson;FIRE Station: An Environment for Manipulating Finite Automata and Regular Expression Views.;Michiel Frishert, Loek G. Cleophas;[<span itemprop="pagination">125-133</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Alfons Geser;Finding Finite Automata That Certify Termination of String Rewriting.;Dieter Hofbauer, Johannes Waldmann, Hans Zantema;[<span itemprop="pagination">134-145</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Dieter Hofbauer;Finding Finite Automata That Certify Termination of String Rewriting.;Alfons Geser, Johannes Waldmann, Hans Zantema;[<span itemprop="pagination">134-145</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Johannes Waldmann;Finding Finite Automata That Certify Termination of String Rewriting.;Alfons Geser, Dieter Hofbauer, Hans Zantema;[<span itemprop="pagination">134-145</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Hans Zantema;Finding Finite Automata That Certify Termination of String Rewriting.;Alfons Geser, Dieter Hofbauer, Johannes Waldmann;[<span itemprop="pagination">134-145</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Mathieu Giraud;Linear Encoding Scheme for Weighted Finite Automata.;Dominique Lavenier;[<span itemprop="pagination">146-155</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Dominique Lavenier;Linear Encoding Scheme for Weighted Finite Automata.;Mathieu Giraud;[<span itemprop="pagination">146-155</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Yo-Sub Han;The Generalization of Generalized Automata: Expression Automata.;Derick Wood;[<span itemprop="pagination">156-166</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Derick Wood;The Generalization of Generalized Automata: Expression Automata.;Yo-Sub Han;[<span itemprop="pagination">156-166</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Yonghua Han;An Automata Approach to Match Gapped Sequence Tags Against Protein Database.;Bin Ma, Kaizhong Zhang;[<span itemprop="pagination">167-177</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Bin Ma;An Automata Approach to Match Gapped Sequence Tags Against Protein Database.;Yonghua Han, Kaizhong Zhang;[<span itemprop="pagination">167-177</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Kaizhong Zhang;An Automata Approach to Match Gapped Sequence Tags Against Protein Database.;Yonghua Han, Bin Ma;[<span itemprop="pagination">167-177</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Jozef Jirásek;State Complexity of Concatenation and Complementation of Regular Languages.;Galina Jirásková, Alexander Szabari;[<span itemprop="pagination">178-189</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Galina Jirásková;State Complexity of Concatenation and Complementation of Regular Languages.;Jozef Jirásek, Alexander Szabari;[<span itemprop="pagination">178-189</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Alexander Szabari;State Complexity of Concatenation and Complementation of Regular Languages.;Jozef Jirásek, Galina Jirásková;[<span itemprop="pagination">178-189</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Sebastian John;Minimal Unambiguous eNFA.;;[<span itemprop="pagination">190-201</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Lila Kari;Substitutions, Trajectories and Noisy Channels.;Stavros Konstantinidis, Petr Sosík;[<span itemprop="pagination">202-212</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Stavros Konstantinidis;Substitutions, Trajectories and Noisy Channels.;Lila Kari, Petr Sosík;[<span itemprop="pagination">202-212</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Petr Sosík;Substitutions, Trajectories and Noisy Channels.;Lila Kari, Stavros Konstantinidis;[<span itemprop="pagination">202-212</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Bryan Krawetz;State Complexity and the Monoid of Transformations of a Finite Set.;John Lawrence, Jeffrey O. Shallit;[<span itemprop="pagination">213-224</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
John Lawrence;State Complexity and the Monoid of Transformations of a Finite Set.;Bryan Krawetz, Jeffrey O. Shallit;[<span itemprop="pagination">213-224</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Jeffrey O. Shallit;State Complexity and the Monoid of Transformations of a Finite Set.;Bryan Krawetz, John Lawrence;[<span itemprop="pagination">213-224</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Harumichi Nishimura;An Application of Quantum Finite Automata to Interactive Proof Systems.;Tomoyuki Yamakami;[<span itemprop="pagination">225-236</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Tomoyuki Yamakami;An Application of Quantum Finite Automata to Interactive Proof Systems.;Harumichi Nishimura;[<span itemprop="pagination">225-236</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Zeshan Peng;Time and Space Efficient Algorithms for Constrained Sequence Alignment.;H. F. Ting;[<span itemprop="pagination">237-246</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
H. F. Ting;Time and Space Efficient Algorithms for Constrained Sequence Alignment.;Zeshan Peng;[<span itemprop="pagination">237-246</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Baozhen Shan;Stochastic Context-Free Graph Grammars for Glycoprotein Modelling.;;[<span itemprop="pagination">247-258</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
German Tischler;Parametric Weighted Finite Automata for Figure Drawing.;;[<span itemprop="pagination">259-268</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Manuel Vilares Ferro;Regional Finite-State Error Repair.;Juan Otero, Jorge Graña Gil;[<span itemprop="pagination">269-280</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Juan Otero;Regional Finite-State Error Repair.;Manuel Vilares Ferro, Jorge Graña Gil;[<span itemprop="pagination">269-280</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Jorge Graña Gil;Regional Finite-State Error Repair.;Manuel Vilares Ferro, Juan Otero;[<span itemprop="pagination">269-280</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
Anssi Yli-Jyrä;Approximating Dependency Grammars Through Intersection of Regular Languages.;;[<span itemprop="pagination">281-292</span>];[<meta content="2004" itemprop="datePublished"/>];<title>dblp: CIAA 2004</title>
